TP_BUZ_NO,TP_BUZ_NM,row_count,total_amt,total_cnt,avg_amt_per_cnt,amt_share
8001,일반한식,28406,6348450610000,173301016,36632.50658611257,0.36856240583113004
4020,슈퍼마켓,28456,2723898860000,143282938,19010.629583823862,0.15813728085100004
4010,편의점,28967,2483898980000,306005921,8117.159863713879,0.14420397040944924
8006,서양음식,28627,1916074350000,174739374,10965.326853007955,0.11123863373449458
4004,대형할인점,21529,1654789730000,47906339,34542.18720407752,0.0960696272997304
8021,스넥,27438,571506890000,35722693,15998.426826331375,0.03317911208061946
8005,중국음식,26805,529612890000,18567799,28523.191682546756,0.030746935416038092
8301,제과점,27224,498417820000,39671152,12563.734473856468,0.028935890366532616
8004,일식회집,21714,487750290000,9769473,49925.95711150438,0.02831658169381763
8002,갈비전문점,2860,9269650000,122645,75581.1488442252,0.0005381540654708716
8003,한정식,548,1230000000,15718,78254.23081817025,7.140825171707368e-05
