GENDER_CD,AGE_CD,unknown_demo,row_count,total_amt,total_cnt,avg_amt_per_cnt,amt_share
1,5,False,13929,2332862140000,120899752,19295.838919504153,0.13543545277589525
1,6,False,14044,2331087740000,108459324,21492.737129728008,0.13533243911585724
1,4,False,13679,1952102740000,106111833,18396.654593649324,0.11333027954106441
2,6,False,13729,1755472760000,76527506,22939.108455984442,0.10191482986060656
2,5,False,13633,1535037270000,75502045,20331.068780984675,0.08911733965142243
1,3,False,13480,1360568200000,83698500,16255.586420306217,0.0789884524421511
2,4,False,13442,1265233230000,69503803,18203.798574877983,0.07345373412085054
x,x,True,13161,1056216910000,65217271,16195.355828366384,0.061319189412284356
2,3,False,13291,895907120000,53726661,16675.280081150027,0.05201232613014515
1,2,False,13241,745423860000,55588332,13409.718068173011,0.043275946854303
2,2,False,13040,574470450000,41867604,13721.120750067283,0.0333511630061956
3,3,False,12564,307047520000,18615045,16494.58918847631,0.01782579398151481
3,4,False,12641,269264700000,15094666,17838.400664181638,0.015632293883026283
3,5,False,12702,246487790000,12401585,19875.507042043417,0.014309969230492029
3,2,False,12152,234679310000,17749346,13221.856737707407,0.013624422147373305
3,6,False,12553,198463580000,9100886,21807.061422371404,0.011521900225456577
1,1,False,12181,83581940000,9964060,8388.341700070052,0.004852390415058008
2,1,False,11546,58846140000,6528651,9013.522089019616,0.0034163414452830555
3,1,False,7566,22146670000,2548198,8691.110345428417,0.001285735761020296
