SIDO_NM,row_count,total_amt,total_cnt,avg_amt_per_cnt,amt_share
경기도,47005,3961619780000,214676356,18453.917580005877,0.2299937743557545
서울특별시,25792,3145138600000,195942696,16051.318391577097,0.18259256002754853
부산광역시,17046,1710369500000,98672679,17333.769766198402,0.09929633803675239
경상남도,20475,1096811490000,55264724,19846.50262615986,0.06367592761308832
대구광역시,8807,1071637900000,61612589,17393.164569013647,0.062214462530696124
경상북도,20113,886415130000,45093776,19657.150246189187,0.051461264007205354
인천광역시,9623,811162700000,47123986,17213.37197579169,0.04709244737000091
광주광역시,5100,649137580000,36471747,17798.368145074048,0.03768599976557077
충청남도,14862,616243420000,31790306,19384.633164587973,0.03577631321491899
전라남도,18357,564959030000,24870428,22716.095999634585,0.03279897286510063
제주특별자치도,2153,502994270000,23519028,21386.69463721035,0.02920157841008595
강원특별자치도,16034,500801430000,22921030,21848.99326077406,0.02907427201114671
충청북도,12863,481926360000,24934356,19327.804576143855,0.02797847058859599
전북특별자치도,13056,441811260000,22335850,19780.364749942357,0.025649568833754053
울산광역시,5081,367066120000,19558247,18767.8435598037,0.02131020316566632
대전광역시,5179,350420710000,20348331,17221.103293434728,0.020343845745167215
세종특별자치시,1028,66384790000,3968939,16726.07969031522,0.003854001458947216
