group,controls_per_dong,metric,difference
성수,3,amount,0.006767384626513495
성수,3,count,-0.0024563749907038357
성수,3,stores,0.19530028666487587
성수,3,population,-0.026571220580597688
성수,3,cafe_share,0.008146427226794678
성수,3,young_share,0.04572506467430704
성수,3,weekend_share,-0.007251926818770488
성수,3,opening_rate,-0.01191495296421588
성수,3,closure_rate,0.0016023179327856255
성수,3,western_share_common,0.004809910128353211
성수,3,bakery_share_common,-0.01194290751094251
연남,3,amount,-0.2603960221907502
연남,3,count,-0.2259703331156827
연남,3,stores,0.14057661485705775
연남,3,population,-0.0482453245154667
연남,3,cafe_share,0.0012983914443846084
연남,3,young_share,0.04519700240233826
연남,3,weekend_share,-0.003970716360971294
연남,3,opening_rate,-0.012338884190997122
연남,3,closure_rate,-0.004436493736698535
연남,3,western_share_common,-0.004749943622656301
연남,3,bakery_share_common,0.03789642486891656
용리단길,3,amount,0.4213607429193149
용리단길,3,count,0.20745291648161301
용리단길,3,stores,0.31026167894684376
용리단길,3,population,0.1651803931718846
용리단길,3,cafe_share,-0.013531869522699233
용리단길,3,young_share,0.10573905620712426
용리단길,3,weekend_share,0.06689976263249753
용리단길,3,opening_rate,-0.007023067762892521
용리단길,3,closure_rate,0.00041355994489791076
용리단길,3,western_share_common,-0.006558669345210828
용리단길,3,bakery_share_common,0.010604811733513783
성수,5,amount,0.02983001688812492
성수,5,count,-2.0202421374904134e-05
성수,5,stores,0.19238051316319904
성수,5,population,-0.031567962632024216
성수,5,cafe_share,0.003138416519279749
성수,5,young_share,0.04508316935923706
성수,5,weekend_share,-0.004744858145616843
성수,5,opening_rate,-0.012190414174076465
성수,5,closure_rate,0.0011545295486833154
성수,5,western_share_common,0.0004714525085367377
성수,5,bakery_share_common,0.011461829756070133
연남,5,amount,-0.25810696511984466
연남,5,count,-0.20246285191449187
연남,5,stores,0.09820066964913754
연남,5,population,-0.023136035746038952
연남,5,cafe_share,-0.0008435183867320228
연남,5,young_share,0.03741143168750183
연남,5,weekend_share,-0.0010364068553102568
연남,5,opening_rate,-0.012355413375008409
연남,5,closure_rate,0.002920011632283323
연남,5,western_share_common,-0.0059605359633131405
연남,5,bakery_share_common,0.04035852377759451
용리단길,5,amount,0.49357852681506453
용리단길,5,count,0.2151239442381172
용리단길,5,stores,0.2574516059333056
용리단길,5,population,0.15300318476670083
용리단길,5,cafe_share,-0.014901143176266951
용리단길,5,young_share,0.10863398707112226
용리단길,5,weekend_share,0.06675237100493805
용리단길,5,opening_rate,-0.006651240526935505
용리단길,5,closure_rate,-0.00728464144961706
용리단길,5,western_share_common,0.013301363710389577
용리단길,5,bakery_share_common,-0.006069820555904139
성수,10,amount,0.051589008895891686
성수,10,count,0.027736843768358055
성수,10,stores,0.20723760764483967
성수,10,population,-0.03195326412840771
성수,10,cafe_share,-0.004475679888773121
성수,10,young_share,0.04927915578943165
성수,10,weekend_share,0.00020204976755638926
성수,10,opening_rate,-0.014849897391549599
성수,10,closure_rate,0.0007744683471365629
성수,10,western_share_common,0.0033413950268051107
성수,10,bakery_share_common,0.016075650175438144
연남,10,amount,-0.3297364626628765
연남,10,count,-0.20821113301669392
연남,10,stores,0.0903368430618745
연남,10,population,-0.034638227955930745
연남,10,cafe_share,0.009981989171113662
연남,10,young_share,0.0461144988716472
연남,10,weekend_share,-0.012381676479164883
연남,10,opening_rate,-0.016545697932721495
연남,10,closure_rate,0.0045499587772311265
연남,10,western_share_common,-0.014439476488378844
연남,10,bakery_share_common,0.04309437386504472
용리단길,10,amount,0.5428766848075031
용리단길,10,count,0.27320621258093636
용리단길,10,stores,0.2991516862935304
용리단길,10,population,0.10179103582305804
용리단길,10,cafe_share,-0.013249460967420162
용리단길,10,young_share,0.11636984977190135
용리단길,10,weekend_share,0.07388936523000231
용리단길,10,opening_rate,-0.008617304581683319
용리단길,10,closure_rate,-0.004199389485383204
용리단길,10,western_share_common,0.013011892692688938
용리단길,10,bakery_share_common,0.0044630123710957745
