case_admin,case_name,case_group,control_admin,control_name,distance,rank
11170625,한강로동,용리단길,11680521,논현1동,0.7427676047065962,1
11170625,한강로동,용리단길,11710642,문정2동,0.8673731213549409,2
11170625,한강로동,용리단길,11170530,남영동,1.0615781504942015,3
11170625,한강로동,용리단길,11500603,가양1동,1.0893622561691594,4
11170625,한강로동,용리단길,11530540,구로3동,1.1605890493735609,5
11200650,성수1가1동,성수,11620625,인헌동,0.8575896688684786,1
11200650,성수1가1동,성수,11620630,남현동,0.8664969246436389,2
11200650,성수1가1동,성수,11590520,노량진2동,0.8911799164769036,3
11200650,성수1가1동,성수,11560515,영등포본동,0.9031176762635322,4
11200650,성수1가1동,성수,11710680,잠실3동,1.0335364698186635,5
11200660,성수1가2동,성수,11290600,안암동,0.6426505278616617,1
11200660,성수1가2동,성수,11710710,잠실6동,0.8849533668549284,2
11200660,성수1가2동,성수,11560560,당산2동,0.9910091444771059,3
11200660,성수1가2동,성수,11230710,회기동,1.0369502029051783,4
11200660,성수1가2동,성수,11110640,이화동,1.2836960584303612,5
11200670,성수2가1동,성수,11560620,양평2동,0.6390927557108673,1
11200670,성수2가1동,성수,11650560,반포1동,0.8616386074955473,2
11200670,성수2가1동,성수,11650540,잠원동,0.89481926994334,3
11200670,성수2가1동,성수,11590680,신대방2동,0.9873860099722007,4
11200670,성수2가1동,성수,11680656,도곡2동,1.0075936511780625,5
11200690,성수2가3동,성수,11680521,논현1동,0.7800172328381688,1
11200690,성수2가3동,성수,11710642,문정2동,0.96707900944181,2
11200690,성수2가3동,성수,11530540,구로3동,1.0612187015295584,3
11200690,성수2가3동,성수,11170530,남영동,1.073273928297061,4
11200690,성수2가3동,성수,11440740,상암동,1.2277151725937159,5
11440710,연남동,연남,11440655,서강동,1.4936836049019682,1
11440710,연남동,연남,11620645,서원동,1.5806326346828508,2
11440710,연남동,연남,11215710,화양동,1.8360001157472372,3
11440710,연남동,연남,11620585,낙성대동,1.967545384509969,4
11440710,연남동,연남,11710580,송파1동,2.028366988092654,5
