quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20211,11110515,청운효자동,8308817159,333439,2062170212,5747279759,2454663973,407037054,7202835100,3947689427,2909300186,288,16,6,3668598,0.24819058748528178,0.5480743862926974,0.3501461315523937,0.05555555555555555,0.020833333333333332,0.4271001370963539,0.07082255798712372
20212,11110515,청운효자동,11069117742,492377,3137911014,7151355755,3015229063,563209046,9502806315,5634797556,3806953291,290,16,14,3759011,0.28348338929431544,0.5929614231014662,0.3439256298227928,0.05517241379310345,0.04827586206896552,0.42163041055422923,0.07875556262268482
20213,11110515,청운효자동,11349534805,629311,4315857323,6442222928,2823859852,673480970,10153623994,6239589183,3918064818,296,21,14,3595242,0.3802673322873695,0.6145184405771881,0.34521809795005076,0.07094594594594594,0.0472972972972973,0.43833625187457964,0.10454170517335441
20214,11110515,청운효자동,14339500075,685813,5120453155,8618793662,3660838496,770082425,12509430835,7294954169,5122158624,300,14,12,3782102,0.3570872853459642,0.5831563614061103,0.3572062203849181,0.04666666666666667,0.04,0.42475068316585024,0.08934921233760011
20221,11110515,청운효자동,10833024168,560233,4265307664,6248986779,2409070060,684535571,9671101707,5474903773,3805663231,308,14,6,3627519,0.393731943901632,0.5661096262732128,0.3513020161296847,0.045454545454545456,0.01948051948051948,0.3855137072934428,0.10954345003583821
20222,11110515,청운효자동,14525487836,684392,5572458830,8443303491,3151112065,493631395,12491606526,6514680993,5330039985,316,14,6,3938615,0.38363316212961923,0.5215246717418098,0.36694395707592126,0.04430379746835443,0.0189873417721519,0.37320843297399836,0.058464248682542116
20223,11110515,청운효자동,12041579919,581251,4827033995,6759059518,2567203075,404675158,10340804894,5288171082,4273439381,318,11,8,3606790,0.400863842408552,0.5113887300076934,0.35489025607487645,0.03459119496855346,0.025157232704402517,0.37981661030847574,0.05987151865171666
20224,11110515,청운효자동,13429664143,589267,4710880799,8098695780,3159309765,417062163,11238319153,6019000151,4857640199,331,21,8,3710225,0.3507817283320128,0.5355783252865945,0.36170973058413886,0.0634441087613293,0.02416918429003021,0.3901010546416648,0.05149744777794333
20231,11110515,청운효자동,12681736361,615261,5362606017,6747485158,2473618713,377988895,11138150900,5648395316,4118725833,334,13,8,3555653,0.42286055034952164,0.5071214572968301,0.3247761754191856,0.038922155688622756,0.023952095808383235,0.36659861490279994,0.056019225852145256
20232,11110515,청운효자동,13465713944,676657,5156697382,7637649453,2702656072,578033841,11670587828,5785738847,4791601764,338,10,7,3662829,0.38295016539377036,0.4957538499576596,0.3558371864965261,0.029585798816568046,0.020710059171597635,0.3538596643681285,0.07568216433040842
20233,11110515,청운효자동,11440653207,599062,4350101457,6317685774,2234175645,429954914,9827140126,4885260959,3870996266,343,11,6,3457038,0.38023191318642335,0.49711929374802527,0.33835447993751955,0.03206997084548105,0.01749271137026239,0.3536382980924116,0.06805576114112066
