quarter,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common,group,side,amount_index,amount_yoy,count_index,count_yoy,stores_index,stores_yoy,population_index,population_yoy
20211,64351099468,3796645,11000139138,44283654157,2080774715,1435979460,51381108740,28177583187,13739255124,1640,104,55,20024613,0.17093941251881892,0.5484035646172006,0.21350459024918675,0.06341463414634146,0.03353658536585366,0.046987421309519196,0.03242685111099875,성수,case,87.82282467791333,,88.11772672838849,,96.41387419165197,,100.1535066583488,
20212,78669466944,4649775,13638239414,52866121361,2835696438,1626186470,63403703218,35850371459,17516058607,1691,144,84,20732168,0.17336127908058957,0.565430245229308,0.22265383620138948,0.08515671200473093,0.04967474866942637,0.053639199642361676,0.03076046489008475,성수,case,107.36374141304998,,107.91833389703083,,99.41211052322163,,103.6923572919989,
20213,68134034167,4308026,13159803954,45146401450,2150817820,1618586667,55208949025,30853640023,15011273954,1714,98,71,19435034,0.19314582080586404,0.5588521529186997,0.22031975851021238,0.057176196032672114,0.041423570595099185,0.047640958103428194,0.035851953090715274,성수,case,92.98556491988045,,99.9865559742332,,100.76425631981188,,97.20471537323769,
20214,81940501766,4479975,13203366972,56114646859,3388686642,1878664160,65019772278,36898936137,18544068398,1759,132,79,19783869,0.16113358702275535,0.5675033123652614,0.22631138445987142,0.07504263786242182,0.044911881750994885,0.06038862991537302,0.033479033820181456,성수,case,111.82786898915624,,103.97738340034748,,103.40975896531452,,98.94942067641459,
20221,71190322287,3980339,11982562982,48936253504,2331247508,1721196433,56733014960,31657505091,16204038240,1807,98,54,19367372,0.1683173020862714,0.5580085090369398,0.22761574494176723,0.054233536247924735,0.029883785279468732,0.047638454950570466,0.03517221507076162,성수,case,97.15661806344674,0.10627981301859424,92.38114816854015,0.04838324362693913,106.23162845385067,0.1018292682926829,96.86630251264872,-0.03282165802654957
20222,94234135739,4757941,14281367615,63795474010,3205626432,2206275025,75274356164,42358276467,22831099856,1874,118,52,20018434,0.15155195623117998,0.5627185488603071,0.24228056719525956,0.06296691568836713,0.02774813233724653,0.05024849304352712,0.03458356661248672,성수,case,128.60554132095695,0.1978489164808952,110.42879827526554,0.023262630987520794,110.17048794826573,0.10821998817267886,100.12260226495843,-0.034426404416556866
20223,92330402891,4800020,14283233750,63380027334,3074575737,3414223770,73103039749,41309061764,20657753246,1875,98,95,19448387,0.1546969719915765,0.5650799461395185,0.22373728045340996,0.05226666666666667,0.050666666666666665,0.0485101674191083,0.05386908011269429,성수,case,126.00743192538044,0.35512896043544795,111.40542522432288,0.11420404612228441,110.22927689594356,0.09393232205367563,97.27150067262944,0.0006870582269111747
20224,98476402187,4697899,13514640590,70378580806,3996096526,3439118067,76470384462,43200920051,23779039989,1979,185,83,19377505,0.13723735118121613,0.5649366137614699,0.24146942273383645,0.09348155634158666,0.04194037392622536,0.05678001005753898,0.0488659763753975,성수,case,134.39515215246985,0.2018037486299764,109.03526146889413,0.04864402145101265,116.34332745443857,0.12507106310403637,96.91698291695761,-0.020540168356351307
20231,92493896790,4482576,13093694931,66295798383,3758846707,3310780006,72476139431,40312239986,20463336668,2013,119,90,19610860,0.14156279911882388,0.5562139526537387,0.2212398588250679,0.05911574764033781,0.044709388971684055,0.056698113586092176,0.049939514822239045,성수,case,126.23055936448388,0.2992481817558821,104.0377509636094,0.1261794535591063,118.34215167548501,0.11400110680686226,98.08411266604485,0.012572072246043398
20232,96973457672,4695102,13798745544,69015002555,4242473920,3505669932,76012112069,42797562357,23692917840,2042,122,93,19380546,0.1422940449403428,0.5630360898030371,0.24432373980247446,0.059745347698334964,0.0455435847208619,0.061471763572261744,0.05079576616991694,성수,case,132.34401652724074,0.029069316670840895,108.9703448697232,-0.013207183527496502,120.04703115814227,0.08964781216648876,96.93219253992251,-0.03186503000184726
