dataset,rows_sampled,columns,missing_cells_sample
서울시 상권분석서비스(길단위인구-행정동),9350,25,0
서울시 상권분석서비스(소비-행정동),9350,14,0
서울시 상권분석서비스(점포-상권)_2024년,200000,14,0
서울시 상권분석서비스(점포-상권)_2025년,200000,14,0
서울시 상권분석서비스(점포-행정동)_2023년,141235,12,0
서울시 상권분석서비스(점포-행정동)_2024년,141001,12,0
서울시 상권분석서비스(점포-행정동)_2025년,141218,12,0
서울시 상권분석서비스(추정매출-행정동)_2024년,67900,53,0
서울시 상권분석서비스(추정매출-행정동)_2025년,67113,53,0
서울시_상권분석서비스(점포-상권)_2021년,200000,14,0
서울시_상권분석서비스(점포-상권)_2022년,200000,14,0
서울시_상권분석서비스(점포-상권)_2023년,200000,14,0
서울시_상권분석서비스(점포-행정동)_2021년,140395,12,0
서울시_상권분석서비스(점포-행정동)_2022년,140621,12,0
서울시_상권분석서비스(추정매출-행정동)_2021년,70071,53,0
서울시_상권분석서비스(추정매출-행정동)_2022년,69440,53,0
서울시_상권분석서비스(추정매출-행정동)_2023년,68643,53,0
mobile_sheet_01,4000,10,0
mobile_sheet_02,2400,9,0
mobile_sheet_03,6791,9,0
mobile_sheet_04,100369,10,0
