region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target
강원특별자치도 강릉시,8104,36691540000.0,1575816.0,23284.15246450093,0.4454757145652649,0.025609445665131528,0.07163531429860943,0.1392825158060959,0.03067301072672338,0.14413704085464932,0.14318695808352552,0.2658545185372344,,,,,,,,,,,2026,1,20261,0.060424283090870556,0.0
강원특별자치도 강릉시,8105,38908600000.0,1759724.0,22110.626439146137,0.44929193031874703,0.02289570943184797,0.08021028769989154,0.1358915509681664,0.02538153518759349,0.13541068041512674,0.15091830597862682,0.26904426581579166,0.060424283090870556,0.11670651903521723,-0.05040020362106601,0.0038162157534821217,-0.002713736233283557,0.008574973401282104,-0.0033909648379295,-0.00529147553912989,-0.008726360439522574,0.007731347895101298,2026,2,20262,,
강원특별자치도 고성군,8104,3509580000.0,168244.0,20860.060388483394,0.4263416135264049,0.03113762900404037,0.06946415240570096,0.19582400173240103,0.01989411838453604,0.016238410294109266,0.24110007465280747,0.2846977394009926,,,,,,,,,,,2026,1,20261,0.3934516380877484,1.0
강원특별자치도 고성군,8105,4890430000.0,237174.0,20619.587307209054,0.42382776156697877,0.024110354304222738,0.0892804927174093,0.19840382134086368,0.013454849573554882,0.016973967524328126,0.23394875297264248,0.2827475309300901,0.3934516380877484,0.40970257483179195,-0.011527918749799193,-0.0025138519594261055,-0.007027274699817631,0.01981634031170834,0.0025798196084626523,-0.006439268810981159,0.0007355572302188591,-0.007151321680164996,2026,2,20262,,
강원특별자치도 동해시,8104,13016140000.0,594476.0,21895.14799588209,0.3633074014262293,0.038612829917318035,0.0318773461256563,0.1049512374636413,0.024186125840687023,0.2763776357660566,0.16068742346041145,0.24830416029962976,,,,,,,,,,,2026,1,20261,0.0829393353175365,0.0
강원특별자치도 동해시,8105,14095690000.0,657730.0,21430.815076095056,0.3811243011161568,0.03350385827157096,0.03617772524793039,0.1098016485890368,0.021283810867009704,0.24879732741000973,0.16931132849828565,0.2507629079465862,0.0829393353175365,0.10640294982471965,-0.021207114922190184,0.0178168996899275,-0.005108971645747078,0.004300379122274094,0.0048504111253954985,-0.002902314973677319,-0.027580308356046884,0.008623905037874191,2026,2,20262,,
강원특별자치도 삼척시,8104,5806950000.0,250095.0,23218.976788820248,0.49365846098209903,0.029471581467035192,0.07395965179655413,0.10321252981341324,0.02286225987824934,0.09551657927139032,0.18131893679125874,0.3032127632992958,,,,,,,,,,,2026,1,20261,0.2904605688011779,1.0
강원특별자치도 삼척시,8105,7493640000.0,321171.0,23332.243571181705,0.5037178193774988,0.024933143305523084,0.09588931413838936,0.09657923252251242,0.018025952674534673,0.08477055209484309,0.17608398588669857,0.3113921634721207,0.2904605688011779,0.28419600551790314,0.004878198698919256,0.010059358395399787,-0.004538438161512108,0.02192966234183523,-0.006633297290900814,-0.004836307203714668,-0.010746027176547227,-0.005234950904560165,2026,2,20262,,
강원특별자치도 속초시,8104,25823670000.0,987184.0,26158.92275401546,0.53794367725424,0.01675517074064221,0.08721920625534635,0.09311108761845237,0.02299208439389134,0.10824526490618878,0.13373350883123894,0.3360713249253676,,,,,,,,,,,2026,1,20261,0.06337364131434464,0.0
강원특별자치도 속초시,8105,27460210000.0,1080023.0,25425.578899708617,0.5483333885647633,0.014912121939344236,0.09111510800536485,0.08994432307691748,0.021512217131624267,0.09870099318249934,0.1354818480994865,0.34584381326182606,0.06337364131434464,0.0940442713820322,-0.028034176376558695,0.010389711310523353,-0.001843048801297974,0.003895901750018499,-0.003166764541534889,-0.001479867262267072,-0.009544271723689449,0.0017483392682475507,2026,2,20262,,
강원특별자치도 양구군,8104,2255540000.0,99054.0,22770.811880388475,0.4074412335848622,0.04056678223396615,0.00856557631431941,0.10483520576003973,0.023626271314186403,0.23704744761786534,0.1779174831747608,0.267122136047916,,,,,,,,,,,2026,1,20261,0.1836810697216631,1.0
강원특별자치도 양구군,8105,2669840000.0,121534.0,21967.844389224414,0.4283552572438798,0.0402158930872262,0.01086581967458724,0.0977287028436161,0.020102328229407006,0.21730515686333263,0.18542684205795104,0.27678325841719487,0.1836810697216631,0.22694691784279275,-0.035263015450741286,0.020914023659017622,-0.00035088914673994664,0.0023002433602678316,-0.007106502916423632,-0.003523943084779397,-0.01974229075453271,0.007509358883190237,2026,2,20262,,
강원특별자치도 양양군,8104,5863510000.0,222106.0,26399.601991841733,0.483807480502293,0.021507595279960295,0.06937823931399452,0.09576004816227822,0.02913442630779175,0.14106397021579226,0.15934824021788996,0.29465530190891936,,,,,,,,,,,2026,1,20261,0.29004128926189265,1.0
강원특별자치도 양양군,8105,7564170000.0,290493.0,26039.07839431587,0.4999372039496733,0.017974212636680562,0.07561041065972869,0.09383316345349192,0.024003955490159528,0.12684405559367387,0.16179699821659216,0.3076257499272728,0.29004128926189265,0.307902533024772,-0.013656402760817143,0.016129723447380284,-0.003533382643279733,0.006232171345734172,-0.0019268847087862973,-0.00513047081763222,-0.014219914622118385,0.0024487579987022,2026,2,20262,,
