rank,region,period,amount,count,ticket,share_korean,share_chinese,share_japanese,share_western,share_bakery,share_supermarket,share_convenience,concentration,amount_growth,count_growth,ticket_growth,share_change_korean,share_change_chinese,share_change_japanese,share_change_western,share_change_bakery,share_change_supermarket,share_change_convenience,year,q,quarter,future_growth,target,missing_features,similarity_score,out_of_range_features,out_of_range_count,interpretation,positive_score_drivers,negative_score_drivers,percentile_amount_growth,percentile_count_growth,percentile_ticket_growth,percentile_concentration,percentile_q,percentile_share_korean,percentile_share_chinese,percentile_share_japanese,percentile_share_western,percentile_share_bakery,percentile_share_supermarket,percentile_share_convenience,percentile_share_change_korean,percentile_share_change_chinese,percentile_share_change_japanese,percentile_share_change_western,percentile_share_change_bakery,percentile_share_change_supermarket,percentile_share_change_convenience,evidence
1,강원특별자치도 평창군,8105,6793560000.0,292342.0,23238.398861607297,0.5767668203416176,0.02405807853319909,0.0069683641566424676,0.0831169519368343,0.020033678954774817,0.11341329141127773,0.17564281466565393,0.38431006329285466,-0.07892299953766913,-0.07297490130170758,-0.006416329228101425,0.031056396746201864,0.0008764557111368212,-0.002835490950757944,-0.025349126399099933,0.0003974967503106823,0.008710938947027028,-0.012856670804818587,2026,2,20262,,,0,96.61807570793252,"share_japanese, share_change_western",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+2.347; share_change_convenience=+0.365; amount_growth=+0.362,share_japanese=-0.148; concentration=-0.082; share_western=-0.076,0.11555555555555555,0.15777777777777777,0.41333333333333333,0.9022222222222223,0.5,0.8711111111111111,0.2822222222222222,0.0,0.8777777777777778,0.02,0.18,0.7311111111111112,0.8577777777777778,0.7244444444444444,0.09333333333333334,0.0,0.6511111111111111,0.7911111111111111,0.2088888888888889,매출 전분기 대비 -7.9%; 건수 -7.3%; 건당금액 -0.6%; 최대 업종 한식
2,강원특별자치도 홍천군,8105,10676780000.0,547516.0,19500.3981618802,0.5118434584209846,0.02709805765408672,0.01779656413263175,0.06954250251480315,0.017852760851118032,0.22610187715771984,0.1297647792686559,0.33615058587082147,0.045418939930989444,0.06947789517274239,-0.02249598177797507,0.045284433186281836,-0.001684112381515241,-0.0038936087072612494,-0.017621599426659237,-0.0037933501533743176,-0.029095461115761223,0.010803698598289349,2026,2,20262,,,0,88.01950660653472,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+1.631; share_change_korean=+0.474; ticket_growth=+0.332,share_change_convenience=-0.359; amount_growth=-0.105; share_japanese=-0.086,0.6888888888888889,0.7355555555555555,0.25333333333333335,0.56,0.5,0.5066666666666667,0.4711111111111111,0.23555555555555555,0.8333333333333334,0.008888888888888889,0.7111111111111111,0.19333333333333333,0.9066666666666666,0.2088888888888889,0.04666666666666667,0.0022222222222222222,0.11777777777777777,0.13333333333333333,0.8533333333333334,매출 전분기 대비 +4.5%; 건수 +6.9%; 건당금액 -2.2%; 최대 업종 한식
3,전라남도 함평군,8105,2863790000.0,136742.0,20943.01677611853,0.6619933724190671,0.03674501272788857,0.0029925378606671577,0.11474654216964232,0.018276479769815526,0.05835972609723478,0.1068863289556846,0.46792571997042287,0.17716768470638522,0.1506104692745891,0.023080978437941102,0.039594306330066,-0.0037683094796271133,-0.0005753967655629166,-0.02366301397600175,-0.003028364893491474,-0.009406368658559004,0.0008471474431762799,2026,2,20262,,,0,80.14468832268248,"concentration, share_korean, share_japanese, share_supermarket, share_change_western",5,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+2.191; share_change_korean=+0.407; share_bakery=+0.207,amount_growth=-0.599; concentration=-0.224; count_growth=-0.186,0.94,0.9288888888888889,0.6666666666666666,1.0,0.5,1.0,0.5955555555555555,0.0,0.96,0.008888888888888889,0.0,0.044444444444444446,0.8888888888888888,0.02,0.4266666666666667,0.0,0.1688888888888889,0.3244444444444444,0.4911111111111111,매출 전분기 대비 +17.7%; 건수 +15.1%; 건당금액 +2.3%; 최대 업종 한식
4,인천광역시 중구,8105,39037350000.0,2432351.0,16049.225625742338,0.41049584564526026,0.05224714280042062,0.043440448698490036,0.1766380146193325,0.041962889386702736,0.08277457358145468,0.19244108526833917,0.24997074943113903,-0.01582848840507256,0.00726767961417929,-0.022929523588107736,0.011233167211096684,0.0015026486986654056,0.0026396861154795934,-0.01386252250150316,-0.004205299899671541,-0.0021515291297638933,0.004843849505696912,2026,2,20262,,,0,74.87594236435933,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+1.283; ticket_growth=+0.336; concentration=+0.146,share_western=-0.232; share_change_convenience=-0.176; share_korean=-0.134,0.36,0.5955555555555555,0.24888888888888888,0.0044444444444444444,0.5,0.04,0.8555555555555555,0.7422222222222222,0.9955555555555555,0.6,0.03111111111111111,0.8488888888888889,0.6577777777777778,0.82,0.9044444444444445,0.0044444444444444444,0.09777777777777778,0.45555555555555555,0.6422222222222222,매출 전분기 대비 -1.6%; 건수 +0.7%; 건당금액 -2.3%; 최대 업종 한식
5,강원특별자치도 정선군,8105,7228960000.0,332173.0,21762.635734993513,0.4850158252362719,0.04053556804851597,0.008716329873176778,0.06407422367809477,0.027915495451627897,0.1779011088731989,0.19584144883911378,0.3118469160610731,0.21933060420366934,0.20714241586202142,0.010096727760944724,-0.018129083452581962,0.0004790963172728313,-0.00108863349947424,-0.024165386484792772,0.0036569399337426506,0.06459668609761669,-0.02534961891178314,2026,2,20262,,,0,73.23812406663015,"share_japanese, share_change_western",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+2.237; share_change_convenience=+0.748; share_bakery=+0.114,amount_growth=-0.757; share_change_korean=-0.280; share_change_supermarket=-0.259,0.9644444444444444,0.9888888888888889,0.5755555555555556,0.24888888888888888,0.5,0.28888888888888886,0.6444444444444445,0.0,0.8111111111111111,0.11777777777777777,0.45555555555555555,0.8688888888888889,0.11333333333333333,0.6577777777777778,0.31555555555555553,0.0,0.9222222222222223,0.9955555555555555,0.02,매출 전분기 대비 +21.9%; 건수 +20.7%; 건당금액 +1.0%; 최대 업종 한식
6,강원특별자치도 속초시,8105,27460210000.0,1080023.0,25425.578899708617,0.5483333885647633,0.014912121939344236,0.09111510800536485,0.08994432307691748,0.021512217131624267,0.09870099318249934,0.1354818480994865,0.34584381326182606,0.06337364131434464,0.0940442713820322,-0.028034176376558695,0.010389711310523353,-0.001843048801297974,0.003895901750018499,-0.003166764541534889,-0.001479867262267072,-0.009544271723689449,0.0017483392682475507,2026,2,20262,,,0,70.15793375405828,"share_chinese, share_japanese",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.387; share_japanese=+0.339; share_change_western=+0.293,amount_growth=-0.172; count_growth=-0.112; share_western=-0.088,0.76,0.7888888888888889,0.21777777777777776,0.6577777777777778,0.5,0.7644444444444445,0.0,1.0,0.9022222222222223,0.02,0.11555555555555555,0.23333333333333334,0.6444444444444445,0.18,0.9533333333333334,0.10222222222222223,0.32666666666666666,0.32222222222222224,0.5311111111111111,매출 전분기 대비 +6.3%; 건수 +9.4%; 건당금액 -2.8%; 최대 업종 한식
7,충청북도 괴산군,8105,4374820000.0,200968.0,21768.739301779387,0.47044906990459034,0.04242688842055216,0.011374182252069799,0.08557609227351068,0.01952308894994537,0.25219551890134906,0.11845515929798255,0.3085903633462304,0.00428358921619032,0.1544444572098207,-0.13007197276216687,0.06438960468751842,-0.0018804832095073443,-0.004704198707307268,0.011320325726827368,-0.0004509248603829924,-0.07802880711055132,0.009354483473403105,2026,2,20262,,,0,67.32128377754803,"ticket_growth, share_change_supermarket",2,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+1.409; share_change_korean=+0.701; share_change_supermarket=+0.281,share_change_western=-1.048; share_change_convenience=-0.314; count_growth=-0.191,0.46,0.94,0.0,0.20222222222222222,0.5,0.21333333333333335,0.6933333333333334,0.02,0.8844444444444445,0.02,0.8,0.1288888888888889,0.9866666666666667,0.17777777777777778,0.015555555555555555,0.9866666666666667,0.49777777777777776,0.0,0.8111111111111111,매출 전분기 대비 +0.4%; 건수 +15.4%; 건당금액 -13.0%; 최대 업종 한식
8,강원특별자치도 강릉시,8105,38908600000.0,1759724.0,22110.626439146137,0.44929193031874703,0.02289570943184797,0.08021028769989154,0.1358915509681664,0.02538153518759349,0.13541068041512674,0.15091830597862682,0.26904426581579166,0.060424283090870556,0.11670651903521723,-0.05040020362106601,0.0038162157534821217,-0.002713736233283557,0.008574973401282104,-0.0033909648379295,-0.00529147553912989,-0.008726360439522574,0.007731347895101298,2026,2,20262,,,0,65.211354937716,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.611; share_change_western=+0.314; share_japanese=+0.276,share_change_convenience=-0.265; share_western=-0.164; amount_growth=-0.161,0.7422222222222222,0.8622222222222222,0.1,0.022222222222222223,0.5,0.11777777777777777,0.21333333333333335,0.9888888888888889,0.9622222222222222,0.035555555555555556,0.26,0.42,0.5666666666666667,0.08222222222222222,0.9977777777777778,0.09111111111111111,0.06222222222222222,0.34444444444444444,0.7666666666666667,매출 전분기 대비 +6.0%; 건수 +11.7%; 건당금액 -5.0%; 최대 업종 한식
9,전라남도 진도군,8105,4033890000.0,148879.0,27095.090644080094,0.4317866872919192,0.022462189102826303,0.004702656740763878,0.07987327368867272,0.017107556229842658,0.2654633616682656,0.1786042752777096,0.2960091001078373,0.023320886056682477,0.06306454261783534,-0.03738592998622903,0.042706128382138275,0.0009601951708736699,0.001544329411212081,0.002302725027600566,0.0013717293822845915,-0.04941806787439845,0.0005329605002892535,2026,2,20262,,,0,64.50669188599363,share_japanese,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.481; share_change_korean=+0.444; share_bakery=+0.218,share_change_western=-0.213; share_japanese=-0.161; share_korean=-0.106,0.5866666666666667,0.7288888888888889,0.17777777777777778,0.11777777777777777,0.5,0.07555555555555556,0.19111111111111112,0.0,0.8688888888888889,0.0044444444444444444,0.8777777777777778,0.7711111111111111,0.8911111111111111,0.7266666666666667,0.7933333333333333,0.86,0.7622222222222222,0.008888888888888889,0.4777777777777778,매출 전분기 대비 +2.3%; 건수 +6.3%; 건당금액 -3.7%; 최대 업종 한식
10,전라남도 고흥군,8105,6765610000.0,273332.0,24752.35245049976,0.47290192606431647,0.0356745363684871,0.008451566081994084,0.08590356228041522,0.024312663603134086,0.23910482572894387,0.1336509198727092,0.3079845468833194,0.047335610999051037,0.09329301462353201,-0.042035760779379094,0.0345776977177501,-0.0006143442986511968,0.0010179339275875436,-0.0006250305772915604,-0.0005780842958044326,-0.038151696501517285,0.0043735240279269005,2026,2,20262,,,0,62.99252405635014,share_japanese,1,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.527; share_change_korean=+0.347; share_bakery=+0.149,share_change_convenience=-0.162; share_japanese=-0.140; amount_growth=-0.112,0.6933333333333334,0.7844444444444445,0.1511111111111111,0.19555555555555557,0.5,0.22444444444444445,0.5866666666666667,0.0,0.8866666666666667,0.02666666666666667,0.7422222222222222,0.22,0.8666666666666667,0.4111111111111111,0.7311111111111112,0.4066666666666667,0.4666666666666667,0.05555555555555555,0.6311111111111111,매출 전분기 대비 +4.7%; 건수 +9.3%; 건당금액 -4.2%; 최대 업종 한식
11,전라남도 강진군,8105,4086790000.0,156827.0,26059.224495781975,0.5579440098463586,0.02857010024982933,0.026223515277271403,0.0850985736972049,0.02437854648758561,0.16638731131279072,0.1113979431289594,0.3607357613786245,0.1581278568574498,0.12846287794839317,0.02628795283278529,0.028649265755608,0.0012689573651578114,0.00413945813587166,-0.008301713653416698,-0.004594557607585821,-0.01634104599948913,-0.004820363996145813,2026,2,20262,,,0,62.8308849379421,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,share_change_western=+0.769; share_change_korean=+0.276; share_bakery=+0.148,amount_growth=-0.528; count_growth=-0.157; ticket_growth=-0.157,0.9288888888888889,0.8866666666666667,0.6755555555555556,0.7644444444444445,0.5,0.8111111111111111,0.5111111111111111,0.44666666666666666,0.8822222222222222,0.02666666666666667,0.3933333333333333,0.08,0.8422222222222222,0.7866666666666666,0.96,0.022222222222222223,0.08,0.22444444444444445,0.33555555555555555,매출 전분기 대비 +15.8%; 건수 +12.8%; 건당금액 +2.6%; 최대 업종 한식
12,경상북도 포항시 북구,8105,59525670000.0,2980213.0,19973.62940165686,0.48247352780741487,0.02662716774124508,0.03330899089418061,0.11080664862739051,0.033652372161455724,0.19272861607437597,0.12040267669393726,0.2996509195123775,0.04390049798009055,0.10047871095149152,-0.051412364826651236,-0.0004484347349983375,-0.002453880465107656,-0.00245364677988269,-0.00573254757564283,-0.0023208846451724108,0.006418894765051003,0.006990499435752917,2026,2,20262,,,0,61.97186405936461,,0,탐색용: 검증 적중률이 무작위 기준을 넘지 못함,ticket_growth=+0.621; share_change_western=+0.531; share_convenience=+0.118,share_change_convenience=-0.242; share_western=-0.122; count_growth=-0.120,0.6866666666666666,0.8088888888888889,0.09777777777777778,0.14444444444444443,0.5,0.27111111111111114,0.44222222222222224,0.6333333333333333,0.9577777777777777,0.3288888888888889,0.5333333333333333,0.13333333333333333,0.47555555555555556,0.09777777777777778,0.12444444444444444,0.04,0.2288888888888889,0.7288888888888889,0.7377777777777778,매출 전분기 대비 +4.4%; 건수 +10.0%; 건당금액 -5.1%; 최대 업종 한식
